"key","date","campaign_name","ad_set_name","network","signups","p0_signup","p0_signup_per","p1_signup","p1_signup_per","total_trial","third_tcard_unlock","third_tcard_unlock_per","trial_per","d0","d0_revenue","d0_aov","d0_d6","d0_d6_revenue","d0_d6_aov","d0_d15","d0_d30","d0_d60","d0_d90","d0_per","d0_d6_per","d0_d15_per","d0_d30_per","d0_d60_per","d0_d90_per","new_user_count_by_trial","new_user_revenue_by_trial","new_user_count_by_trial_per","overall_users","overall_revenue","new_converted_user","new_converted_user_per","new_user_rev","new_user_aov","repeat_converted_user","repeat_converted_user_per","repeat_revenue","m0","m0_revenue","m0_aov","d0_trial","d0_d6_overall","d0_d6_revenue_overall","m0_p0andp1","m0_p0andp1_revenue","m0_p0andp1_aov","m0_other","m0_other_revenue","m0_other_aov","d6_mandate_con","d6_mandate_revenue","Week number"
"46107","26/03/2026","","","Organic","542","14","2.58","45","8.3","54","26","48.15","9.963099631","1","2674","2674","16","45559","2847.4375","16","16","16","16","0.18","2.95","2.95","2.95","2.95","2.95","15","14070","27.78","17","63058","16","2.95","45559","2847.44","1","0.18","17499","9","42166","4685.111111","39","16","63058","2","9998","4999","2","9998","4999","13","32887","Week 1"
"46107GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_options_catalyst-quality-su_040825","26/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_options_catalyst-quality-su_040825","Google","3411","109","3.2","528","15.48","102","12","11.76","2.990325418","0","0","","28","78372","2799","28","28","28","28","0","0.82","0.82","0.82","0.82","0.82","28","2799","27.45","28","78372","28","0.82","78372","2799","0","0","","1","2799","2799","72","28","78372","0","","","0","","","28","78372","Week 1"
"46107GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_generic_catalyst-quality-su_040825","26/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_generic_catalyst-quality-su_040825","Google","3682","111","3.01","582","15.81","97","12","12.37","2.634437806","1","1899","1899","29","75771","2612.793103","29","29","29","29","0.03","0.79","0.79","0.79","0.79","0.79","29","5997","29.9","30","79770","29","0.79","75771","2612.79","1","0.03","3999","6","12594","2099","65","29","79770","1","1299","1299","1","1299","1299","27","72573","Week 1"
"46107200-Ad-Test_FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_191125fb_mof_open_android_200-ads_pro-sub_191125_adset2","26/03/2026","200-Ad-Test_FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_191125","fb_mof_open_android_200-ads_pro-sub_191125_adset2","Facebook","164","19","11.59","54","32.93","53","29","54.72","32.31707317","4","13572","3393","18","54608","3033.777778","18","18","18","18","2.44","10.98","10.98","10.98","10.98","10.98","14","23269","26.42","18","54608","18","10.98","54608","3033.78","0","0","","14","44912","3208","36","18","54608","7","20568","2938.285714","7","20568","2938.285714","8","19392","Week 1"
"46106GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_options_catalyst-quality-su_040825","25/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_options_catalyst-quality-su_040825","Google","2577","85","3.3","411","15.95","79","11","13.92","3.065580132","0","0","","25","68475","2739","27","27","27","27","0","0.97","1.05","1.05","1.05","1.05","27","4098","34.18","27","72573","27","1.05","72573","2687.89","0","0","","25","68475","2739","51","27","68475","5","12495","2499","5","12495","2499","25","68475","Week 1"
"46106GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_generic_catalyst-quality-su_040825","25/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_generic_catalyst-quality-su_040825","Google","2370","83","3.5","396","16.71","88","11","12.5","3.713080169","1","1474","1474","30","81445","2714.833333","31","31","31","31","0.04","1.27","1.31","1.31","1.31","1.31","29","5572","32.95","32","88193","31","1.31","85394","2754.65","1","0.04","2799","31","84244","2717.548387","58","31","84244","12","28264","2355.333333","12","28264","2355.333333","29","79671","Week 1"
"46106200-Ad-Test_FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_191125fb_mof_open_android_200-ads_pro-sub_191125_adset2","25/03/2026","200-Ad-Test_FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_191125","fb_mof_open_android_200-ads_pro-sub_191125_adset2","Facebook","157","20","12.74","45","28.66","58","35","60.34","36.94267516","3","9672","3224","19","63331","3333.210526","19","19","19","19","1.91","12.1","12.1","12.1","12.1","12.1","19","32768","32.76","20","64630","19","12.1","63331","3333.21","1","0.64","1299","20","64630","3231.5","34","19","64630","10","26240","2624","10","26240","2624","14","34686","Week 1"
"46105UAC-Univest-Pro-Activated-PRO-010823uac-univest-pro-activated-2-010823","24/03/2026","UAC-Univest-Pro-Activated-PRO-010823","uac-univest-pro-activated-2-010823","Google","2366","34","1.44","188","7.95","103","23","22.33","4.353338969","2","6848","3424","19","51731","2722.684211","19","19","19","19","0.08","0.8","0.8","0.8","0.8","0.8","17","5697","16.5","19","51731","19","0.8","51731","2722.68","0","0","","19","51731","2722.684211","80","19","51731","6","15244","2540.666667","6","15244","2540.666667","16","43884","Week 2"
"46105GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_options_catalyst-quality-su_040825","24/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_options_catalyst-quality-su_040825","Google","2558","95","3.71","406","15.87","66","10","15.15","2.580140735","0","0","","15","39585","2639","21","21","21","21","0","0.59","0.82","0.82","0.82","0.82","20","4098","30.3","22","62378","21","0.82","56379","2684.71","1","0.04","5999","18","51182","2843.444444","44","21","45584","9","25991","2887.888889","9","25991","2887.888889","14","37686","Week 2"
"46105GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_generic_catalyst-quality-su_040825","24/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_generic_catalyst-quality-su_040825","Google","2252","78","3.46","356","15.81","67","10","14.93","2.975133215","0","0","","16","44784","2799","19","19","19","19","0","0.71","0.84","0.84","0.84","0.84","19","2799","28.36","19","53181","19","0.84","53181","2799","0","0","","16","44784","2799","44","19","44784","3","8397","2799","3","8397","2799","16","44784","Week 2"
