creative,checkpoint,age_days,horizon,actual_final,predicted_final,ape,week_date
FB_MOF_Baby-AI_V0_211125,P0,0,D6,0.0,0.0,,2025-12-15
FB_MOF_Baby-AI_V0_211125,P0,0,D15,0.0,0.0,,2025-12-15
FB_MOF_Baby-AI_V0_211125,P0,0,D30,0.0,0.0,,2025-12-15
FB_MOF_Baby-AI_V0_211125,P0,0,D60,0.0,0.0,,2025-12-15
FB_MOF_Baby-AI_V0_211125,P0,0,D180,0.0,0.0,,2025-12-15
FB_MOF_Black-Friday-AI_V1_201125,P0,0,D6,0.0,0.0,,2025-12-01
FB_MOF_Black-Friday-AI_V1_201125,P0,0,D15,0.0,0.0,,2025-12-01
FB_MOF_Black-Friday-AI_V1_201125,P0,0,D30,0.0,0.0,,2025-12-01
FB_MOF_Black-Friday-AI_V1_201125,P0,0,D60,0.0,0.0,,2025-12-01
FB_MOF_Black-Friday-AI_V1_201125,P0,0,D180,0.0,0.0,,2025-12-01
FB_MOF_Black-Friday-Fire_0_201125,P0,0,D6,0.0,0.0,,2025-11-28
FB_MOF_Black-Friday-Fire_0_201125,P0,0,D15,0.0,0.0,,2025-11-28
FB_MOF_Black-Friday-Fire_0_201125,P0,0,D30,0.0,0.0,,2025-11-28
FB_MOF_Black-Friday-Fire_0_201125,P0,0,D60,0.0,0.0,,2025-11-28
FB_MOF_Black-Friday-Fire_0_201125,P0,0,D180,0.0,0.0,,2025-11-28
FB_MOF_Election-Day_V1_261125,P0,0,D6,0.0,0.0,,2025-11-27
FB_MOF_Election-Day_V1_261125,P0,0,D15,0.0,0.0,,2025-11-27
FB_MOF_Election-Day_V1_261125,P0,0,D30,0.0,0.0,,2025-11-27
FB_MOF_Election-Day_V1_261125,P0,0,D60,0.0,0.0,,2025-11-27
FB_MOF_Election-Day_V1_261125,P0,0,D180,0.0,0.0,,2025-11-27
FB_MOF_Selfie-Girl-BlackF_0_261125,P0,0,D6,0.0,0.0,,2025-12-01
FB_MOF_Selfie-Girl-BlackF_0_261125,P0,0,D15,0.0,0.0,,2025-12-01
FB_MOF_Selfie-Girl-BlackF_0_261125,P0,0,D30,0.0,0.0,,2025-12-01
FB_MOF_Selfie-Girl-BlackF_0_261125,P0,0,D60,0.0,0.0,,2025-12-01
FB_MOF_Selfie-Girl-BlackF_0_261125,P0,0,D180,0.0,0.0,,2025-12-01
FB_MOF_Static_Performance-20th-Nov_V0_261125,P0,0,D6,0.0,0.0,,2025-12-05
FB_MOF_Static_Performance-20th-Nov_V0_261125,P0,0,D15,0.0,0.0,,2025-12-05
FB_MOF_Static_Performance-20th-Nov_V0_261125,P0,0,D30,0.0,0.0,,2025-12-05
FB_MOF_Static_Performance-20th-Nov_V0_261125,P0,0,D60,0.0,0.0,,2025-12-05
FB_MOF_Static_Performance-20th-Nov_V0_261125,P0,0,D180,0.0,0.0,,2025-12-05
FB_MOF_Video_AS-Anchor_V0_161125,P0,0,D6,0.0,0.0,,2025-11-28
FB_MOF_Video_AS-Anchor_V0_161125,P0,0,D15,0.0,0.0,,2025-11-28
FB_MOF_Video_AS-Anchor_V0_161125,P0,0,D30,0.0,0.0,,2025-11-28
FB_MOF_Video_AS-Anchor_V0_161125,P0,0,D60,0.0,0.0,,2025-11-28
FB_MOF_Video_AS-Anchor_V0_161125,P0,0,D180,0.0,0.0,,2025-11-28
FB_MOF_Video_AS-Sebi_V0_171125,P0,0,D6,4.04,4.04,0.0,2025-12-10
FB_MOF_Video_AS-Sebi_V0_171125,P0,0,D15,12.13,12.13,0.0,2025-12-10
FB_MOF_Video_AS-Sebi_V0_171125,P0,0,D30,15.63,15.63,0.0,2025-12-10
FB_MOF_Video_AS-Sebi_V0_171125,P0,0,D60,15.63,15.63,0.0,2025-12-10
FB_MOF_Video_AS-Sebi_V0_171125,P0,0,D180,19.14,19.14,0.0,2025-12-10
FB_MOF_Video_Buddhu-Ladki-Test_V0_131125,P0,0,D6,0.0,0.0,,2025-12-15
FB_MOF_Video_Buddhu-Ladki-Test_V0_131125,P0,0,D15,0.0,0.0,,2025-12-15
FB_MOF_Video_Buddhu-Ladki-Test_V0_131125,P0,0,D30,0.0,0.0,,2025-12-15
FB_MOF_Video_Buddhu-Ladki-Test_V0_131125,P0,0,D60,0.0,0.0,,2025-12-15
FB_MOF_Video_Buddhu-Ladki-Test_V0_131125,P0,0,D180,0.0,0.0,,2025-12-15
FB_MOF_Video_Monkey-AI_V1_181125,P0,0,D6,0.0,0.0,,2025-12-19
FB_MOF_Video_Monkey-AI_V1_181125,P0,0,D15,0.0,0.0,,2025-12-19
FB_MOF_Video_Monkey-AI_V1_181125,P0,0,D30,0.0,0.0,,2025-12-19
FB_MOF_Video_Monkey-AI_V1_181125,P0,0,D60,0.0,0.0,,2025-12-19
FB_MOF_Video_Monkey-AI_V1_181125,P0,0,D180,0.0,0.0,,2025-12-19
FB_MOF_Video_Monkey-AI_V2_181125,P0,0,D6,83.83,83.83,0.0,2025-12-16
FB_MOF_Video_Monkey-AI_V2_181125,P0,0,D15,83.83,83.83,0.0,2025-12-16
FB_MOF_Video_Monkey-AI_V2_181125,P0,0,D30,83.83,83.83,0.0,2025-12-16
FB_MOF_Video_Monkey-AI_V2_181125,P0,0,D60,83.83,83.83,0.0,2025-12-16
FB_MOF_Video_Monkey-AI_V2_181125,P0,0,D180,83.83,83.83,0.0,2025-12-16
