creative,week_start,rows,spend,d6_rev,d6_roas,d15_rev,d15_roas,d30_rev,d30_roas,d60_rev,d60_roas,d180_rev,d180_roas
FB_MOF_Baby-AI_V0_211125,2025-11-17,3,40223.19,3873.0,9.63,5772.0,14.35,5772.0,14.35,7571.0,18.82,10569.0,26.28
FB_MOF_Baby-AI_V0_211125,2025-11-24,17,155547.81,16268.0,10.46,22516.0,14.48,28589.0,18.38,32161.0,20.68,35258.0,22.67
FB_MOF_Baby-AI_V0_211125,2025-12-01,11,137682.97,10468.0,7.6,12467.0,9.05,15966.0,11.6,19465.0,14.14,40634.0,29.51
FB_MOF_Baby-AI_V0_211125,2025-12-08,8,144910.89,19564.0,13.5,24061.0,16.6,29558.0,20.4,48251.0,33.3,59043.0,40.74
FB_MOF_Baby-AI_V0_211125,2025-12-15,1,9343.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FB_MOF_Black-Friday-AI_V1_201125,2025-11-17,2,28489.18,9347.0,32.81,20919.0,73.43,20919.0,73.43,20919.0,73.43,24218.0,85.01
FB_MOF_Black-Friday-AI_V1_201125,2025-11-24,7,222077.19,67917.09,30.58,87486.09,39.39,112483.09,50.65,146224.09,65.84,215902.84,97.22
FB_MOF_Black-Friday-AI_V1_201125,2025-12-01,1,1760.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FB_MOF_Black-Friday-Fire_0_201125,2025-11-17,10,617056.86,175755.0,28.48,227674.0,36.9,243571.0,39.47,263767.0,42.75,340349.0,55.16
FB_MOF_Black-Friday-Fire_0_201125,2025-11-24,21,811027.89,156995.17,19.36,163592.17,20.17,188895.04,23.29,245890.04,30.32,286054.04,35.27
FB_MOF_Election-Day_V1_261125,2025-11-24,2,34102.52,8949.0,26.24,8949.0,26.24,8949.0,26.24,8949.0,26.24,38949.0,114.21
FB_MOF_Selfie-Girl-BlackF_0_261125,2025-11-24,5,76656.22,3398.0,4.43,5397.0,7.04,9895.0,12.91,9895.0,12.91,31990.0,41.73
FB_MOF_Selfie-Girl-BlackF_0_261125,2025-12-01,1,587.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FB_MOF_Static_Performance-20th-Nov_V0_261125,2025-11-24,2,33072.2,8497.0,25.69,8497.0,25.69,18495.0,55.92,18495.0,55.92,24493.0,74.06
