"Start date","Google End date","Campaign name UAC-Univest-Pro-Activated-PRO-010823","Sum of spends","Sum of signups","Sum of p0","Sum of p1","Sum of d0_trial","Sum of d0","Sum of d0_d6","Sum of new_user_count_by_trial","Sum of d0_revenue","Sum of d6_revenue","Sum of overall_revenue","Sum of d6_mandate_amount","Sum of total_trial","SU Cost","P0+P1","P0+P1%","Prio Cost","C/D0 Trial","Trial %","d0 CAC","d0%","D0 ROAS","d6 CAC","d6%","D6 CAC","D6 ROAS","D6 mandate ROAS","D6 non mandate roas","Real%","overall roas","D6 Mandate Revenue/ D0 Trial","Revenue/Trial","","Google camapign list","Meta campaign list","Meta adset list","Google Adgroups list","","Spends","Signups","P0P1","D0","D6","D0 Trials","D6 Rev","Overall Rev"
"31/12/2025","06/01/2026","Week 13","?2,673,665","7189","220","645","1065","17","188","435","85384","?556,265","1377644","358958","1603","?372","865","12%","3,091","?2,510","14.81%","?157,274","0.2%","3.2%","14,222","2.6%","14,222","20.8%","13.4%","7.4%","27.1%","51.5%","522","859","","","","","","","","","","","","","",""
"07/01/2026","13/01/2026","Week 12","?2,061,040","6848","138","457","976","10","184","406","32615","?554,928","1171625","415540","1481","?301","595","9%","3,464","?2,112","14.25%","?206,104","0.1%","1.6%","11,201","2.7%","11,201","26.9%","20.2%","6.8%","27.4%","56.8%","569","791","","","","","","","","","","","","","",""
"14/01/2026","20/01/2026","Week 11","?1,494,204","5743","85","332","1027","20","135","334","60330","?391,445","998183","268294","1435","?260","417","7%","3,583","?1,455","17.88%","?74,710","0.3%","4.0%","11,068","2.4%","11,068","26.2%","18.0%","8.2%","23.3%","66.8%","381","696","","","","","","","","","","","","","",""
"21/01/2026","27/01/2026","Week 10","?772,435","3349","53","196","598","6","53","165","27319","?190,445","513634","106558","835","?231","249","7%","3,102","?1,292","17.86%","?128,739","0.2%","3.5%","14,574","1.6%","14,574","24.7%","13.8%","10.9%","19.8%","66.5%","318","615","","","","","","","","","","","","","",""
"28/01/2026","03/02/2026","Week 9","?606,070","2223","59","208","366","12","59","91","47164","?192,213","331485","100559","495","?273","267","12%","2,270","?1,656","16.46%","?50,506","0.5%","7.8%","10,272","2.7%","10,272","31.7%","16.6%","15.1%","18.4%","54.7%","525","670","","","","","","","","","","","","","",""
"04/02/2026","10/02/2026","Week 8","?981,426","4610","104","340","823","23","129","238","89802","?549,514","979251","228813","1138","?213","444","10%","2,210","?1,192","17.85%","?42,671","0.5%","9.2%","7,608","2.8%","7,608","56.0%","23.3%","32.7%","20.9%","99.8%","668","861","","","","","","","","","","","","","",""
"11/02/2026","17/02/2026","Week 7","?1,458,450","4798","104","405","794","18","119","217","54732","?328,529","702087","239407","1077","?304","509","11%","2,865","?1,837","16.55%","?81,025","0.4%","3.8%","12,256","2.5%","12,256","22.5%","16.4%","6.1%","20.1%","48.1%","414","652","","","","","","","","","","","","","",""
"18/02/2026","24/02/2026","Week 6","?1,157,377","3136","141","378","534","22","98","157","54578","?369,398","621435","149241","725","?369","519","17%","2,230","?2,167","17.03%","?52,608","0.7%","4.7%","11,810","3.1%","11,810","31.9%","12.9%","19.0%","21.7%","53.7%","692","857","","","","","","","","","","","","","",""
"25/02/2026","03/03/2026","Week 5","?1,087,576","1953","63","176","229","9","49","75","34417","?147,416","242904","94964","322","?557","239","12%","4,551","?4,749","11.73%","?120,842","0.5%","3.2%","22,195","2.5%","22,195","13.6%","8.7%","4.8%","23.3%","22.3%","644","754","","","","","","","?7,748,400","63570","4686","47","581","2555","?1,897,096","2788633"
"04/03/2026","10/03/2026","Week 4","?1,848,119","19222","179","1020","632","14","172","257","39637","?649,366","955225","382255","934","?96","1,199","6%","1,541","?2,924","3.29%","?132,009","0.1%","2.1%","10,745","0.9%","10,745","35.1%","20.7%","14.5%","27.5%","51.7%","1,027","1,023","","Campaign Name","Campaign Name","Ad Set Name","Ad Group Name","","","","","","","","",""
